timestamp_ms,ax,ay,az
6682.0,-4.3622,0.6129,8.509
6692.0,-4.4125,0.9242,8.5569
6702.0,-4.4532,1.2761,8.6981
6712.0,-4.221,1.3719,8.7364
6722.0,-3.9289,1.1995,8.9088
6732.0,-3.802,1.0247,8.916
6742.0,-4.0582,0.8978,9.2081
6752.0,-4.3191,0.8643,9.4475
6762.0,-4.2641,1.154,9.505
6772.0,-4.118,1.3264,9.663
6782.0,-3.8642,1.5467,9.3518
6792.0,-3.9816,1.7382,9.153
6802.0,-4.051,1.6496,9.2584
6812.0,-3.9145,1.8364,9.0692
6822.0,-4.1468,1.8914,9.098
6832.0,-4.2186,1.9417,9.2057
6842.0,-4.13,2.1165,9.098
6852.0,-3.9433,2.1428,8.8969
6862.0,-3.5961,2.241,8.6024
6872.0,-3.2298,2.1955,8.4515
6882.0,-2.9353,2.2529,8.5545
6892.0,-2.8706,2.3559,8.6048
6902.0,-2.9616,2.3798,8.7173
6912.0,-3.1484,2.6456,8.904
6922.0,-3.4907,2.7605,9.0214
6932.0,-3.6871,2.6815,9.0261
6942.0,-3.8786,2.5498,9.1123
6952.0,-3.8475,2.5402,8.9208
6962.0,-3.8211,2.6767,8.8394
6972.0,-3.5985,2.7916,8.8178
6982.0,-3.4285,2.794,8.7508
6992.0,-3.3758,2.806,8.8298
7002.0,-3.3998,2.7342,9.0046
7012.0,-3.5075,2.6504,9.2249
7022.0,-3.5745,2.5307,9.165
7032.0,-3.6392,2.545,9.1363
7042.0,-3.7948,2.6671,9.268
7052.0,-3.6966,2.6959,8.9663
7062.0,-3.6727,2.6647,9.1028
7072.0,-3.6943,2.5809,9.1698
7082.0,-3.8235,2.5211,9.5193
7092.0,-4.1037,2.5714,9.809
7102.0,-4.0893,2.5426,9.5481
7112.0,-4.1492,2.3822,9.5433
7122.0,-3.9241,2.4924,9.1004
7132.0,-4.0749,2.5355,8.8107
7142.0,-4.1348,2.6097,8.6024
7152.0,-4.1563,2.7007,8.825
7162.0,-4.1635,2.6025,8.7939
7172.0,-4.0175,2.6432,9.0549
7182.0,-3.9528,2.5809,9.0214
7192.0,-4.0677,2.5355,9.2584
7202.0,-4.2928,2.4421,9.3757
7212.0,-4.5131,2.3583,9.5026
7222.0,-4.5969,2.1715,9.3829
7232.0,-4.4532,2.4086,9.4619
7242.0,-4.2976,2.2793,9.2009
7252.0,-4.2306,2.3272,9.0668
7262.0,-4.3479,2.3846,8.9519
7272.0,-4.4269,2.3894,8.8969
7282.0,-4.6424,2.4038,8.9352
7292.0,-4.6543,2.3391,8.8394
7302.0,-4.7238,2.2865,8.9974
7312.0,-4.8363,2.217,9.1554
7322.0,-4.9105,2.1524,9.5193
7332.0,-4.9081,2.1069,9.6391
7342.0,-4.7836,2.1141,9.4332
7352.0,-4.6902,2.0303,9.177
7362.0,-4.446,1.9776,8.7867
7372.0,-4.2138,1.8483,8.4276
7382.0,-4.1372,1.7957,8.2432
7392.0,-4.2042,1.7286,8.157
7402.0,-4.379,1.7095,8.3462
7412.0,-4.616,1.6712,8.4779
7422.0,-4.7908,1.5179,8.7484
7432.0,-4.853,1.4509,8.9495
7442.0,-4.968,1.3719,9.0692
7452.0,-4.9321,1.2115,8.9711
7462.0,-4.8339,1.1564,8.6383
7472.0,-4.7333,1.1013,8.2863
7482.0,-4.8315,0.9313,8.1666
7492.0,-4.9081,0.7757,8.272
7502.0,-5.0182,0.7302,8.3342
7512.0,-5.1044,0.7135,8.4707
7522.0,-5.0757,0.7135,8.7077
7532.0,-4.8674,0.6728,8.9064
7542.0,-4.6639,0.5555,8.8729
7552.0,-4.7046,0.5531,9.0022
7562.0,-4.7238,0.51,8.9471
7572.0,-4.5753,0.4286,8.7508
7582.0,-4.4843,0.34,8.7652
7592.0,-4.6495,0.2825,8.7173
7602.0,-4.7788,0.1221,8.7364
7612.0,-4.7285,0.1269,8.8729
7622.0,-4.8674,0.1197,9.0621
7632.0,-4.7884,0.1724,9.1028
7642.0,-4.8028,0.2418,9.2081
7652.0,-4.6424,0.2753,9.074
7662.0,-4.5107,0.3208,8.9615
7672.0,-4.5562,0.2849,8.6311
7682.0,-4.616,0.3112,8.9232
7692.0,-4.3144,0.3567,8.5784
7702.0,-4.4963,0.3926,8.5329
7712.0,-4.7597,0.2849,8.7867
7722.0,-4.8842,0.2562,8.8921
7732.0,-4.8387,0.2274,9.1411
7742.0,-4.7381,0.261,9.1818
7752.0,-4.64,0.3352,9.256
7762.0,-4.5418,0.3136,9.3134
7772.0,-4.3359,0.316,9.086
7782.0,-4.1132,0.3543,8.9304
7792.0,-4.0055,0.2274,8.5856
7802.0,-4.039,0.2083,8.4467
7812.0,-4.1539,0.146,8.3127
7822.0,-4.3718,0.091,8.6287
7832.0,-4.604,0.1652,8.7724
7842.0,-4.7525,0.249,9.1219
7852.0,-5.5665,0.0503,9.6774
7862.0,-4.6639,0.1915,9.0788
7872.0,-4.3527,0.1317,9.5241
7882.0,-3.9744,0.2179,8.9591
7892.0,-4.3742,0.0551,8.9208
7902.0,-4.6735,-0.0407,8.4563
7912.0,-4.6807,-0.1293,8.3246
7922.0,-4.8004,-0.067,8.3294
7932.0,-4.944,-0.0886,8.6239
7942.0,-4.9704,0.0168,8.7149
7952.0,-4.9536,0.1604,8.8178
7962.0,-4.6591,0.249,9.0285
7972.0,-4.3862,0.3352,8.5928
7982.0,-4.1683,0.3663,8.8777
7992.0,-3.7757,0.6967,8.2648
8002.0,-3.5314,0.9409,7.9392
8012.0,-3.7589,0.8212,7.5729
8022.0,-3.8714,0.8045,7.3358
8032.0,-3.9193,0.929,7.1539
8042.0,-4.0845,0.9505,7.2664
8052.0,-4.1827,0.9242,7.4723
8062.0,-4.1515,1.0463,7.5226
8072.0,-4.0127,1.1109,7.6207
8082.0,-3.7469,1.0918,7.5609
8092.0,-3.5291,1.008,7.2975
8102.0,-3.2178,0.9816,6.9504
8112.0,-2.9425,1.0032,6.7109
8122.0,-2.5379,0.9673,6.2752
8132.0,-2.5379,1.0726,5.8538
8142.0,-2.5666,1.0558,5.6024
8152.0,-2.715,1.0822,5.5929
8162.0,-2.9592,0.984,5.7174
8172.0,-3.0981,1.0774,5.8993
8182.0,-3.0909,0.9744,5.7174
8192.0,-3.0526,1.0558,5.4013
8202.0,-2.9856,0.9505,5.193
8212.0,-2.8946,0.8715,4.9057
8222.0,-2.9353,0.8188,4.5849
8232.0,-3.0454,0.7973,4.4317
8242.0,-3.0646,0.7614,4.3622
8252.0,-3.0957,0.7374,4.6208
8262.0,-2.9185,0.8068,4.6687
8272.0,-2.7653,1.0319,4.8866
8282.0,-2.8778,1.0247,5.2768
8292.0,-2.9281,1.0175,5.387
8302.0,-3.1364,0.8954,5.6455
8312.0,-3.3615,0.7614,5.873
8322.0,-3.6823,0.7111,6.189
8332.0,-3.8714,0.6704,6.2153
8342.0,-4.0175,0.6057,6.5769
8352.0,-4.4029,0.5315,7.0294
8362.0,-4.9344,0.3208,7.9009
8372.0,-5.0685,0.1077,8.7245
8382.0,-5.0709,-0.0287,8.995
8392.0,-5.0398,0.0048,9.3661
8402.0,-5.3558,0.1604,9.9335
8412.0,-5.8179,0.4334,10.2927
8422.0,-6.2106,0.5507,10.8074
8432.0,-6.6295,0.7685,11.3772
