timestamp_ms,ax,ay,az
6012.0,3.1388,5.351,20.875
6022.0,2.9784,4.0151,17.8943
6032.0,2.4565,3.62,17.1138
6042.0,1.7549,2.9808,15.0954
6052.0,1.8028,2.4349,11.6215
6062.0,1.822,1.1444,10.0676
6072.0,1.3001,-0.5363,10.4698
6082.0,1.0008,-0.9936,8.8705
6092.0,1.585,-2.7557,5.5234
6102.0,1.5275,-4.3622,4.5921
6112.0,0.9792,-7.1467,5.3151
6122.0,1.3958,-7.003,2.8299
6132.0,1.8076,-8.5258,0.5411
6142.0,1.5802,-8.0517,0.5722
6152.0,1.3527,-8.0302,0.0503
6162.0,1.549,-7.5322,-1.3384
6172.0,1.652,-7.4244,-2.2936
6182.0,1.2378,-7.0222,-2.1691
6192.0,1.0151,-6.5625,-1.8842
6202.0,1.4437,-6.0166,-3.4716
6212.0,1.7597,-5.6024,-5.0589
6222.0,1.4222,-5.7724,-4.3479
6232.0,1.1229,-5.9592,-4.051
6242.0,0.9337,-5.5258,-4.379
6252.0,0.759,-6.5027,-4.6064
6262.0,0.1389,-7.1515,-3.5003
6272.0,-0.9697,-8.2624,-1.4485
6282.0,-1.2737,-8.272,-0.34
6292.0,-1.4868,-8.2121,-0.2179
6302.0,-1.6592,-6.5314,1.5419
6312.0,-1.1756,-5.4779,2.4852
6322.0,-0.3496,-4.3335,2.5163
6332.0,0.3735,-2.7031,4.8937
6342.0,1.5754,-0.9888,7.2233
6352.0,2.6624,0.0215,10.0533
6362.0,4.0773,0.2227,14.2096
6372.0,4.4149,0.067,19.9629
6382.0,6.2369,-0.1652,25.029
6392.0,7.2688,1.7693,28.6777
6402.0,7.513,1.6472,32.6042
6412.0,6.1028,2.9975,38.4868
6422.0,3.9265,3.3615,42.8514
6432.0,0.9074,3.7397,44.6638
6442.0,2.5426,5.7724,35.0966
6452.0,3.3016,2.6935,27.4376
6462.0,3.0742,4.2353,23.7625
6472.0,2.9066,2.806,20.243
6482.0,3.0215,2.0303,15.852
6492.0,2.5714,1.6089,13.0221
6502.0,1.9752,0.6608,11.88
6512.0,1.8292,-0.5555,9.7923
6522.0,1.8938,-1.6281,7.1754
6532.0,1.8244,-3.1987,5.4492
6542.0,1.7861,-4.6591,4.3239
6552.0,1.5467,-6.2704,3.2537
6562.0,1.798,-6.5434,1.8794
6572.0,2.2218,-6.8474,0.6967
6582.0,1.5754,-6.8546,0.0455
6592.0,2.2122,-6.2537,-1.7023
6602.0,1.6065,-6.7852,-1.5227
6612.0,1.2881,-5.5833,-1.8603
6622.0,1.1372,-5.1404,-2.0806
6632.0,1.0439,-5.0111,-1.9321
6642.0,1.1372,-4.3287,-3.1963
6652.0,1.0894,-3.9337,-3.7421
6662.0,0.7063,-4.2114,-2.9281
6672.0,0.6105,-4.458,-3.2465
6682.0,0.6033,-4.6926,-3.699
6692.0,0.3663,-5.102,-3.4548
6702.0,0.1844,-4.9943,-3.3902
6712.0,-0.2107,-5.5522,-3.0382
6722.0,-0.2849,-5.2792,-2.9736
6732.0,-0.8045,-5.9783,-2.229
6742.0,-0.8499,-5.6,-2.1979
6752.0,-0.8523,-5.8897,-2.4948
6762.0,-1.2426,-6.4308,-0.9002
6772.0,-1.1205,-6.2632,0.759
6782.0,-0.3496,-5.7748,1.8076
6792.0,0.9936,-4.9536,3.4548
6802.0,1.5754,-6.2393,7.2975
6812.0,1.8435,-4.4221,12.1434
6822.0,4.0558,-2.8515,15.603
6832.0,2.2362,2.976,24.0138
6842.0,0.6393,10.3837,35.1972
6852.0,-1.1899,9.4092,47.4818
6862.0,-1.4581,10.2592,52.1721
6872.0,3.4979,12.1961,41.5969
6882.0,3.2729,10.1969,40.7972
6892.0,3.213,11.0061,36.4493
6902.0,2.4612,6.268,31.139
6912.0,0.3855,1.7861,29.9203
6922.0,1.2665,-0.2514,23.0059
6932.0,2.3511,-3.158,15.9262
6942.0,1.7909,-3.3112,14.3796
6952.0,0.4094,-3.9265,14.6262
6962.0,0.2107,-3.055,12.1745
6972.0,1.0654,-2.4445,8.4946
6982.0,0.7757,-2.545,6.5529
6992.0,0.8667,-1.7142,5.023
7002.0,0.7805,-2.3894,4.0797
7012.0,0.6632,-2.648,3.0454
7022.0,0.8763,-2.296,1.6879
7032.0,1.0056,-2.2625,0.2322
7042.0,0.8954,-2.4469,-0.6129
7052.0,0.1796,-4.1037,-0.0958
7062.0,0.5315,-2.9497,-1.6424
7072.0,0.8835,-6.5817,-2.8012
