timestamp_ms,ax,ay,az
8962.0,-3.3591,0.735,9.6271
8972.0,-3.2753,0.7302,9.7396
8982.0,-3.1987,0.668,9.6678
8992.0,-3.2034,0.8068,9.4332
9002.0,-3.2178,0.7135,9.5265
9012.0,-3.2322,0.7829,9.3925
9022.0,-3.1771,0.8356,9.4739
9032.0,-3.2202,0.8045,9.4068
9042.0,-3.2417,0.7374,9.5457
9052.0,-3.3232,0.7566,9.5672
9062.0,-3.4596,0.7087,9.6606
9072.0,-3.4069,0.7063,9.6798
9082.0,-3.4046,0.6393,9.6319
9092.0,-3.3279,0.7254,9.5481
9102.0,-3.4093,0.759,9.6079
9112.0,-3.3375,0.7709,9.6055
9122.0,-3.3758,0.7374,9.5193
9132.0,-3.3878,0.814,9.675
9142.0,-3.4477,0.7422,9.6774
9152.0,-3.4069,0.7542,9.73
9162.0,-3.4069,0.6967,9.651
9172.0,-3.2561,0.7398,9.56
9182.0,-3.2801,0.6464,9.5433
9192.0,-3.3471,0.644,9.5672
9202.0,-3.3926,0.68,9.6319
9212.0,-3.4309,0.6656,9.7588
9222.0,-3.462,0.7542,9.7396
9232.0,-3.4405,0.747,9.5768
9242.0,-3.2633,0.6991,9.5409
9252.0,-3.3279,0.6608,9.6223
9262.0,-3.3615,0.7494,9.6893
9272.0,-3.4907,0.7661,9.7564
9282.0,-3.4405,0.7781,9.8186
9292.0,-3.5003,0.8404,9.8689
9302.0,-3.4069,0.7709,9.7588
9312.0,-3.3782,0.7278,9.6223
9322.0,-3.2992,0.7542,9.6486
9332.0,-3.2777,0.7925,9.5672
9342.0,-3.2896,0.7733,9.5624
9352.0,-3.3447,0.7566,9.6223
9362.0,-3.3639,0.6823,9.6822
9372.0,-3.4069,0.6991,9.6367
9382.0,-3.3926,0.7183,9.6869
9392.0,-3.383,0.6608,9.7779
9402.0,-3.4477,0.7183,9.6079
9412.0,-3.4357,0.7374,9.6343
9422.0,-3.4022,0.8045,9.5864
9432.0,-3.4884,0.7518,9.5361
9442.0,-3.4548,0.7398,9.4643
9452.0,-3.5123,0.8116,9.5146
9462.0,-3.5578,0.7997,9.6319
9472.0,-3.5267,0.7733,9.6055
9482.0,-3.4692,0.7901,9.4954
9492.0,-3.4524,0.7518,9.5744
9502.0,-3.3974,0.7781,9.4763
9512.0,-3.395,0.723,9.5672
9522.0,-3.3926,0.8667,9.6414
9532.0,-3.4548,0.7709,9.7276
9542.0,-3.5123,0.8116,9.7636
9552.0,-3.5674,0.8475,9.8067
9562.0,-3.5314,0.8954,9.8545
9572.0,-3.4548,0.8452,9.6774
9582.0,-3.3854,0.7494,9.5696
9592.0,-3.3662,0.8212,9.6127
9602.0,-3.4453,0.8906,9.6103
9612.0,-3.4405,0.9625,9.6702
9622.0,-3.4572,0.8715,9.6247
9632.0,-3.4189,0.8212,9.6582
9642.0,-3.3591,0.7638,9.651
9652.0,-3.4189,0.7422,9.6247
9662.0,-3.4333,0.7374,9.6558
9672.0,-3.4716,0.759,9.6654
9682.0,-3.4764,0.8068,9.7564
9692.0,-3.4261,0.7877,9.663
9702.0,-3.4237,0.8021,9.5409
9712.0,-3.4022,0.7709,9.651
9722.0,-3.3878,0.8068,9.5553
9732.0,-3.3662,0.7901,9.6774
9742.0,-3.3615,0.838,9.5553
9752.0,-3.371,0.8595,9.4715
9762.0,-3.4022,0.7542,9.5577
9772.0,-3.4165,0.7973,9.5816
9782.0,-3.5243,0.8475,9.8402
9792.0,-3.5051,0.8859,9.6558
9802.0,-3.5362,0.8763,9.7755
9812.0,-3.4812,0.7398,9.7516
9822.0,-3.4524,0.7949,9.754
9832.0,-3.316,0.826,9.6438
9842.0,-3.3016,0.8571,9.5217
9852.0,-3.3543,0.8571,9.4475
9862.0,-3.3974,0.7757,9.3805
9872.0,-3.3615,0.6728,9.6534
9882.0,-3.4237,0.6919,9.7372
9892.0,-3.3854,0.8882,9.6917
9902.0,-3.3926,0.6967,9.6965
9912.0,-3.4453,0.8404,9.7324
9922.0,-3.486,0.7805,9.5481
9932.0,-3.3902,0.7422,9.5936
9942.0,-3.4453,0.759,9.5648
9952.0,-3.3686,0.8452,9.6774
9962.0,-3.3543,0.8236,9.505
9972.0,-3.2753,0.8068,9.493
9982.0,-3.4117,0.8763,9.3972
9992.0,-3.3734,0.8404,9.4044
10002.0,-3.3782,0.7829,9.6031
10012.0,-3.4453,0.7877,9.7205
10022.0,-3.3974,0.8021,9.6223
10032.0,-3.4955,0.7685,9.5816
10042.0,-3.371,0.9098,9.4595
10052.0,-3.2633,0.8164,9.3661
10062.0,-3.3184,0.7733,9.3781
10072.0,-3.2058,0.8164,9.3518
10082.0,-3.2537,0.7757,9.596
10092.0,-3.2537,0.7183,9.6774
10102.0,-3.3351,0.8404,9.5744
10112.0,-3.3567,0.7877,9.505
10122.0,-3.3136,0.7877,9.4379
10132.0,-3.2633,0.7614,9.4595
10142.0,-3.3112,0.7566,9.426
10152.0,-3.3303,0.8068,9.5265
10162.0,-3.3591,0.814,9.6654
10172.0,-3.3974,0.8021,9.6295
10182.0,-3.316,0.7638,9.6079
10192.0,-3.3232,0.6967,9.6223
10202.0,-3.3662,0.6752,9.6414
10212.0,-3.3471,0.7278,9.7037
10222.0,-3.395,0.8045,9.5912
10232.0,-3.3878,0.8021,9.6199
10242.0,-3.3591,0.7781,9.6774
10252.0,-3.4429,0.7254,9.6247
10262.0,-3.4477,0.7111,9.6989
10272.0,-3.4333,0.6967,9.6438
10282.0,-3.462,0.7015,9.8019
10292.0,-3.4477,0.7278,9.6391
10302.0,-3.4405,0.7135,9.6702
10312.0,-3.3758,0.7374,9.6726
10322.0,-3.4261,0.7661,9.5768
10332.0,-3.3902,0.759,9.584
10342.0,-3.3567,0.7638,9.6654
10352.0,-3.3495,0.7566,9.6654
10362.0,-3.4405,0.7709,9.5816
10372.0,-3.4812,0.6153,9.6558
10382.0,-3.3902,0.7015,9.8019
10392.0,-3.3758,0.6273,9.6941
10402.0,-3.3303,0.6919,9.7109
10412.0,-3.3615,0.7398,9.6127
10422.0,-3.3184,0.7638,9.4834
10432.0,-3.3303,0.7398,9.493
10442.0,-3.2298,0.7661,9.481
10452.0,-3.2058,0.7087,9.56
10462.0,-3.2537,0.7039,9.5529
10472.0,-3.3255,0.6991,9.5074
10482.0,-3.3974,0.7326,9.5074
10492.0,-3.3543,0.8164,9.6271
10502.0,-3.4309,0.6991,9.7157
10512.0,-3.3974,0.759,9.5792
10522.0,-3.3351,0.7781,9.5433
10532.0,-3.3136,0.6943,9.5361
10542.0,-3.2681,0.7111,9.3996
10552.0,-3.2944,0.7183,9.4834
10562.0,-3.316,0.735,9.4379
10572.0,-3.3375,0.7183,9.4858
10582.0,-3.4261,0.6871,9.651
10592.0,-3.3591,0.6991,9.596
10602.0,-3.4093,0.7374,9.6582
10612.0,-3.4692,0.6512,9.5696
10622.0,-3.371,0.7733,9.5984
10632.0,-3.3303,0.7374,9.5696
10642.0,-3.4213,0.7326,9.5122
10652.0,-3.3806,0.7159,9.4427
10662.0,-3.3734,0.6919,9.4834
10672.0,-3.3567,0.7207,9.56
10682.0,-3.3591,0.7039,9.572
10692.0,-3.4309,0.759,9.505
10702.0,-3.4237,0.7614,9.5241
10712.0,-3.4165,0.7542,9.5792
10722.0,-3.3782,0.7542,9.6007
10732.0,-3.4165,0.7901,9.6175
10742.0,-3.4285,0.8236,9.6606
10752.0,-3.3591,0.7685,9.6367
10762.0,-3.3806,0.8475,9.5409
10772.0,-3.2992,0.8308,9.6534
10782.0,-3.2848,0.8835,9.5457
10792.0,-3.2825,0.8595,9.4667
10802.0,-3.3447,0.8547,9.493
10812.0,-3.3662,0.8212,9.4739
10822.0,-3.4261,0.8643,9.5864
10832.0,-3.4261,0.8667,9.6295
10842.0,-3.4764,0.9385,9.7181
10852.0,-3.4907,0.9002,9.7229
10862.0,-3.474,0.9673,9.7229
10872.0,-3.4812,1.0127,9.7516
10882.0,-3.4788,1.0151,9.6893
10892.0,-3.4453,1.0511,9.6438
10902.0,-3.3806,0.9529,9.5768
10912.0,-3.3639,0.8835,9.6175
10922.0,-3.3662,0.8835,9.5912
10932.0,-3.4141,0.8595,9.6079
10942.0,-3.4405,0.8715,9.5409
10952.0,-3.4189,0.9098,9.5984
10962.0,-3.4117,0.8452,9.6917
10972.0,-3.4931,0.8452,9.6391
10982.0,-3.4644,0.8643,9.5624
10992.0,-3.3998,0.7398,9.6319
11002.0,-3.4046,0.759,9.5313
11012.0,-3.3782,0.8164,9.5026
11022.0,-3.4237,0.6752,9.5984
11032.0,-3.3279,0.7302,9.6534
11042.0,-3.3495,0.6608,9.5505
11052.0,-3.304,0.5914,9.5026
11062.0,-3.3303,0.6225,9.4212
11072.0,-3.3567,0.6081,9.5193
11082.0,-3.383,0.6512,9.505
11092.0,-3.4429,0.6201,9.4834
11102.0,-3.3471,0.5602,9.481
11112.0,-3.3591,0.5722,9.4667
11122.0,-3.383,0.4908,9.5457
11132.0,-3.3495,0.5363,9.4882
11142.0,-3.395,0.565,9.5624
11152.0,-3.3567,0.6369,9.5696
11162.0,-3.3447,0.6345,9.4427
11172.0,-3.316,0.565,9.4643
11182.0,-3.3543,0.5578,9.4212
11192.0,-3.3327,0.5411,9.5505
11202.0,-3.2872,0.4884,9.5529
11212.0,-3.3064,0.5363,9.6223
11222.0,-3.371,0.5148,9.6798
11232.0,-3.3423,0.5267,9.7324
11242.0,-3.3375,0.5674,9.6989
11252.0,-3.371,0.5746,9.5672
11262.0,-3.2896,0.5794,9.6534
11272.0,-3.2968,0.5291,9.6367
11282.0,-3.4189,0.5148,9.8186
11292.0,-3.3926,0.5602,9.7707
11302.0,-3.4524,0.5171,9.6534
11312.0,-3.486,0.5291,9.651
11322.0,-3.4309,0.5986,9.6151
11332.0,-3.462,0.5674,9.6917
11342.0,-3.4141,0.5507,9.6295
11352.0,-3.4357,0.5339,9.675
11362.0,-3.4022,0.5626,9.8043
11372.0,-3.4596,0.5866,9.6726
11382.0,-3.3064,0.5842,9.7875
11392.0,-3.2872,0.5722,9.6438
11402.0,-3.2537,0.6009,9.6391
11412.0,-3.2801,0.5986,9.5289
11422.0,-3.3112,0.6464,9.6438
11432.0,-3.2681,0.644,9.7252
11442.0,-3.2801,0.6297,9.7444
11452.0,-3.2848,0.7111,9.7755
11462.0,-3.2561,0.7326,9.5864
11472.0,-3.2322,0.7949,9.4523
11482.0,-3.1867,0.6728,9.3398
11492.0,-3.0861,0.7757,9.402
11502.0,-3.1891,0.7159,9.4355
11512.0,-3.2968,0.7207,9.7037
11522.0,-3.2657,0.7015,9.6893
11532.0,-3.2417,0.6752,9.7899
11542.0,-3.2082,0.7207,9.6845
11552.0,-3.0526,0.7422,9.7181
11562.0,-3.0861,0.6871,9.6151
11572.0,-3.1149,0.7446,9.4643
11582.0,-3.1532,0.7494,9.4643
11592.0,-3.1939,0.8092,9.5744
11602.0,-3.0502,0.8835,9.481
11612.0,-3.1005,0.814,9.481
11622.0,-3.0957,0.6584,9.4882
11632.0,-3.122,0.6297,9.6079
11642.0,-3.1651,0.6512,9.7612
11652.0,-3.1939,0.7063,9.6223
11662.0,-3.0861,0.7638,9.6031
11672.0,-3.0502,0.6967,9.5457
11682.0,-2.9999,0.7015,9.7037
11692.0,-2.8443,0.6345,9.7707
11702.0,-2.8826,0.6728,9.6606
11712.0,-2.9209,0.6967,9.5553
11722.0,-2.9712,0.7111,9.5744
11732.0,-3.0382,0.6919,9.5768
11742.0,-2.9832,0.6632,9.7157
11752.0,-3.1077,0.7015,9.7707
11762.0,-3.1388,0.7278,9.979
11772.0,-3.1388,0.68,9.9192
11782.0,-3.0143,0.7278,9.9742
11792.0,-2.9592,0.7757,9.8952
