timestamp_ms,ax,ay,az
12542.0,-1.7597,6.9288,7.4699
12552.0,-1.81,6.9719,7.4675
12562.0,-1.7885,6.9432,7.4531
12572.0,-1.7669,6.9336,7.513
12582.0,-1.7023,6.9097,7.4843
12592.0,-1.7765,6.9647,7.4651
12602.0,-1.8028,6.9528,7.5274
12612.0,-1.8172,6.9552,7.5226
12622.0,-1.7789,6.9719,7.4795
12632.0,-1.8148,6.9599,7.4771
12642.0,-1.7933,6.9288,7.4555
12652.0,-1.7933,6.9408,7.4172
12662.0,-1.8794,7.0054,7.4579
12672.0,-1.7669,6.8977,7.4795
12682.0,-1.719,6.9384,7.5465
12692.0,-1.7837,6.9073,7.422
12702.0,-1.8459,6.9121,7.4915
12712.0,-1.7885,6.9791,7.4675
12722.0,-1.7549,6.9408,7.4699
12732.0,-1.743,6.9983,7.5417
12742.0,-1.7334,6.9695,7.5274
12752.0,-1.7813,6.9695,7.422
12762.0,-1.7573,6.9671,7.4579
12772.0,-1.7214,6.8929,7.4484
12782.0,-1.7813,6.9528,7.4484
12792.0,-1.7549,6.9432,7.4627
12802.0,-1.7741,6.9336,7.525
12812.0,-1.8579,6.9791,7.5034
12822.0,-1.743,6.9504,7.513
12832.0,-1.7502,6.9623,7.5513
12842.0,-1.7262,6.9623,7.5322
12852.0,-1.7621,6.9791,7.4508
12862.0,-1.7957,6.9145,7.422
12872.0,-1.7023,6.9983,7.4364
12882.0,-1.798,6.9528,7.4843
12892.0,-1.731,6.9145,7.4962
12902.0,-1.7142,6.9408,7.5058
12912.0,-1.7669,6.9528,7.5585
12922.0,-1.7549,7.0366,7.264
12932.0,-2.0087,6.7708,7.7716
12942.0,-1.8459,6.9264,7.3454
12952.0,-1.7119,7.0294,7.4412
12962.0,-1.7957,6.936,7.6231
12972.0,-1.7645,7.0198,7.3502
12982.0,-1.889,7.0174,7.434
12992.0,-1.7717,6.9695,7.5106
13002.0,-1.6688,7.0797,7.3717
13012.0,-1.7454,6.8953,7.4675
13022.0,-1.7549,6.9168,7.525
13032.0,-1.798,6.9671,7.4531
13042.0,-1.7837,6.9647,7.4699
13052.0,-1.7502,6.924,7.4915
13062.0,-1.7861,6.9743,7.4986
13072.0,-1.7837,6.9336,7.4555
13082.0,-1.7597,6.9791,7.4891
13092.0,-1.7526,6.9599,7.4196
13102.0,-1.81,6.9791,7.4484
13112.0,-1.7502,6.9623,7.5537
13122.0,-1.7717,6.9456,7.4268
13132.0,-1.7478,7.015,7.4939
13142.0,-1.8411,6.9456,7.5369
13152.0,-1.7597,6.9887,7.525
13162.0,-1.7741,6.9312,7.3694
13172.0,-1.8076,6.9216,7.446
13182.0,-1.719,6.9073,7.4101
13192.0,-1.8004,6.9576,7.5346
13202.0,-1.8148,7.003,7.446
13212.0,-1.834,6.9336,7.4986
13222.0,-1.798,7.0198,7.5322
13232.0,-1.7933,7.0126,7.4029
13242.0,-1.7717,6.9671,7.5657
13252.0,-1.7957,6.9719,7.525
13262.0,-1.8172,6.9911,7.5657
13272.0,-1.7334,7.0246,7.5058
13282.0,-1.7406,6.9647,7.5441
13292.0,-1.7334,6.9552,7.4843
13302.0,-1.8196,6.9791,7.5465
13312.0,-1.7549,6.9456,7.5178
13322.0,-1.7909,6.9647,7.4603
13332.0,-1.8052,6.9456,7.4388
13342.0,-1.7765,6.9528,7.4412
13352.0,-1.7885,6.9336,7.4962
13362.0,-1.7885,6.8977,7.3765
13372.0,-1.7813,6.9097,7.4962
13382.0,-1.7861,6.8953,7.5154
13392.0,-1.7573,6.8953,7.4986
13402.0,-1.8052,6.9408,7.58
13412.0,-1.7741,6.9312,7.5824
