timestamp_ms,ax,ay,az
10182.0,-3.3758,1.6137,9.8569
10192.0,-3.4141,1.6185,9.3685
10202.0,-3.2872,1.6281,8.928
10212.0,-3.3639,1.2522,8.7724
10222.0,-3.5314,1.549,9.0142
10232.0,-3.7613,1.3599,9.7276
10242.0,-3.8451,1.1923,9.9024
10252.0,-3.5961,1.245,9.8833
10262.0,-3.3399,1.1372,9.5768
10272.0,-3.225,0.9816,9.2895
10282.0,-3.225,0.8978,9.1937
10292.0,-3.2058,0.838,9.2225
10302.0,-3.1556,0.8882,9.323
10312.0,-3.0406,0.893,9.2057
10322.0,-2.9664,0.9505,9.2009
10332.0,-3.1005,0.826,9.2799
10342.0,-3.1603,0.8332,9.0333
10352.0,-3.2801,0.9649,8.9711
10362.0,-3.3758,1.075,9.0333
10372.0,-3.5362,1.1181,9.0644
10382.0,-3.8738,1.1013,9.3278
10392.0,-4.3718,1.1181,9.9024
10402.0,-4.5274,1.142,10.3382
10412.0,-4.2306,1.2402,10.331
10422.0,-3.7733,1.4078,10.0126
10432.0,-3.3112,1.6017,9.5696
10442.0,-2.9066,1.6783,9.1051
10452.0,-2.7653,1.5874,8.7676
10462.0,-3.0382,1.5036,8.9376
10472.0,-3.2274,1.6903,9.2201
10482.0,-3.4357,1.6927,9.8043
10492.0,-3.6727,1.7119,10.2113
10502.0,-3.6943,1.6113,10.4866
10512.0,-3.6631,1.494,10.5393
10522.0,-3.5027,1.2881,10.3358
10532.0,-3.2777,1.2306,10.2208
10542.0,-3.0239,1.3216,10.1035
10552.0,-2.9784,1.2641,9.6151
10562.0,-2.8946,1.3455,9.4308
10572.0,-2.885,1.3479,9.2967
10582.0,-2.9209,1.2713,9.4284
10592.0,-2.9712,1.2163,9.7468
10602.0,-3.2729,1.0606,10.1562
10612.0,-3.395,0.984,10.3358
10622.0,-3.6152,0.8811,10.5297
10632.0,-3.5458,0.9577,10.2352
10642.0,-3.4237,1.0032,10.0628
10652.0,-3.5745,0.8571,9.6798
10662.0,-3.3447,0.7254,9.2895
10672.0,-3.237,0.68,9.232
10682.0,-3.5291,0.6153,9.2991
10692.0,-3.9768,0.6536,10.0509
10702.0,-3.9672,0.7207,10.0916
10712.0,-4.1899,1.0032,10.7667
10722.0,-4.0582,0.8715,10.8793
10732.0,-3.6368,0.7949,10.9391
10742.0,-3.3854,0.8236,10.5776
10752.0,-3.4405,0.9481,9.6822
10762.0,-3.5913,0.8739,8.667
10772.0,-3.7445,0.8332,8.3222
10782.0,-4.5226,0.6823,8.7436
10792.0,-5.296,0.6321,9.4068
10802.0,-5.5522,0.9625,10.1514
10812.0,-5.4588,1.0942,10.5082
10822.0,-5.3271,1.2641,10.9367
10832.0,-4.9847,1.3599,10.8697
10842.0,-4.6639,1.245,10.8386
10852.0,-3.9313,1.1756,10.1969
10862.0,-3.1412,1.1516,9.4451
10872.0,-2.5762,1.1444,8.7747
10882.0,-2.332,1.0391,8.0709
10892.0,-2.3104,1.2139,7.7907
10902.0,-2.6432,1.4054,7.8745
10912.0,-3.0574,1.4533,8.1499
10922.0,-3.6512,1.5227,8.8825
10932.0,-4.0654,1.3982,9.3948
10942.0,-4.5873,1.2354,10.0126
10952.0,-4.6424,1.008,10.2951
10962.0,-4.4077,1.0056,10.1347
10972.0,-4.0079,0.7398,9.7923
10982.0,-3.6512,0.6153,9.4882
10992.0,-3.2633,0.498,8.9399
11002.0,-3.2465,0.3687,9.0142
11012.0,-2.9951,0.3496,8.6479
11022.0,-2.9521,0.3065,8.6814
11032.0,-3.0023,0.2945,8.8729
11042.0,-3.2106,0.4477,9.2153
11052.0,-3.2202,0.6009,9.5816
11062.0,-3.0646,0.6057,9.754
11072.0,-2.818,0.5267,9.7372
11082.0,-2.5786,0.6033,9.5409
11092.0,-2.4517,0.5267,9.3709
11102.0,-2.4588,0.4046,9.1195
11112.0,-2.6384,0.3304,9.2296
11122.0,-2.8491,0.4046,9.2608
11132.0,-2.9377,0.4788,9.4882
11142.0,-3.0406,0.5818,9.6774
11152.0,-3.055,0.5435,10.1442
11162.0,-3.1556,0.4669,10.2328
11172.0,-3.292,0.1987,10.4842
11182.0,-3.5219,0.1149,10.3094
11192.0,-3.814,-0.0527,10.2232
11202.0,-4.2353,-0.3208,10.0533
11212.0,-3.9959,-0.0694,9.9288
11222.0,-3.7852,0.1053,9.833
11232.0,-3.8283,0.2658,10.1035
11242.0,-3.9768,0.2538,10.5034
11252.0,-4.0701,0.1293,11.0205
11262.0,-3.8379,0.0,11.1306
11272.0,-3.5913,0.0718,10.7332
11282.0,-2.6815,0.1724,9.9671
11292.0,-2.4804,0.3424,9.5672
11302.0,-2.3391,0.5818,8.9974
11312.0,-2.3487,0.5842,8.9902
11322.0,-3.1268,0.6273,8.7676
11332.0,-4.0534,0.7709,8.9902
11342.0,-4.9297,0.5818,9.5098
11352.0,-5.3917,0.419,10.1969
11362.0,-5.3486,0.5052,10.2927
11372.0,-4.6448,0.4501,10.2999
11382.0,-3.7134,0.6584,10.1131
11392.0,-2.7749,0.905,9.9431
11402.0,-1.9082,0.9816,9.4355
11412.0,-1.5514,0.9864,8.9854
11422.0,-2.1165,0.68,9.0621
11432.0,-3.2441,0.3903,9.323
11442.0,-4.1228,0.2251,9.4092
11452.0,-4.6998,0.0599,9.5241
11462.0,-4.8626,0.0646,9.5577
11472.0,-4.4604,0.1197,9.2895
11482.0,-3.8571,0.2155,9.1123
11492.0,-3.4309,0.1915,8.9423
11502.0,-3.1508,0.2538,8.7508
11512.0,-2.9521,0.2753,8.7412
11522.0,-2.9042,0.2107,8.8562
11532.0,-2.976,0.4118,8.6622
11542.0,-3.0095,0.4956,8.4851
11552.0,-2.9592,0.5674,8.6431
11562.0,-2.7964,0.6153,8.5234
11572.0,-3.1603,0.6512,9.2249
11582.0,-2.7892,0.7709,8.7077
11592.0,-2.8228,0.6943,9.1842
11602.0,-2.6719,0.7877,8.9926
11612.0,-2.6767,0.8045,8.9854
11622.0,-2.9497,0.7638,9.4643
11632.0,-2.8539,0.9074,9.3781
11642.0,-2.8611,0.8188,9.3948
11652.0,-2.7246,0.9744,9.4643
11662.0,-3.3279,0.7614,9.4212
11672.0,-2.6767,0.8835,9.7133
11682.0,-2.1668,1.1971,9.9647
11692.0,-2.1261,1.403,10.0916
11702.0,-2.466,1.3791,10.1993
11712.0,-2.7629,1.2378,10.4531
11722.0,-2.9616,1.154,10.307
11732.0,-3.2394,1.1899,10.5728
11742.0,-3.3926,1.3168,10.8338
11752.0,-3.3375,1.6568,11.1211
11762.0,-3.4237,1.8555,11.4802
11772.0,-3.4836,1.9178,11.564
11782.0,-3.2753,1.7573,11.5305
11792.0,-2.6217,1.7142,11.2192
11802.0,-2.2027,1.7861,10.4794
11812.0,-2.3655,1.7382,9.6845
11822.0,-2.715,1.5323,9.1028
11832.0,-3.6416,1.2809,9.0836
11842.0,-5.0422,1.0439,9.5529
11852.0,-6.4045,0.9984,10.319
11862.0,-7.0102,1.1588,11.0828
11872.0,-6.5649,1.47,11.7771
11882.0,-5.4708,1.6352,11.5831
11892.0,-4.5226,1.8866,10.9535
11902.0,-3.7661,1.5921,9.9311
11912.0,-3.043,1.6496,8.9208
11922.0,-1.8028,1.6544,7.1826
11932.0,-1.5706,1.4485,6.8546
11942.0,-2.0255,1.4892,7.5034
11952.0,-2.4852,1.4389,7.7117
11962.0,-3.1125,1.4102,8.5258
11972.0,-3.7589,1.3838,9.244
11982.0,-4.2569,1.3479,9.8138
11992.0,-4.6017,1.3096,10.1586
12002.0,-4.6471,1.3048,10.0149
12012.0,-4.4676,1.3384,9.7157
12022.0,-4.1851,1.2641,9.3972
12032.0,-3.8403,1.0199,9.0812
12042.0,-3.462,0.9242,8.9735
12052.0,-3.3974,0.7254,8.8562
12062.0,-3.2298,0.6823,8.7388
12072.0,-3.1819,0.826,8.7915
12082.0,-3.2537,0.7302,9.0142
12092.0,-3.2465,0.6536,9.0405
12102.0,-3.3878,0.6632,9.2344
12112.0,-3.2465,0.5986,9.3589
12122.0,-3.0861,0.6369,9.3398
12132.0,-2.9616,0.6656,8.9807
12142.0,-2.9329,0.747,8.8897
12152.0,-2.818,0.826,8.7125
12162.0,-2.9209,0.7733,8.7915
12172.0,-3.2417,0.7015,9.0692
12182.0,-3.5171,0.6297,9.4858
12192.0,-3.6607,0.6033,9.845
12202.0,-3.7781,0.6919,10.1107
12212.0,-3.8259,0.6105,10.331
12222.0,-3.9049,0.6249,10.5752
12232.0,-3.9385,0.5602,10.5058
12242.0,-3.9959,0.5219,10.1634
12252.0,-3.9385,0.5674,10.0533
12262.0,-4.0247,0.5962,10.0533
12272.0,-4.1061,0.4932,10.0341
12282.0,-4.1515,0.5339,10.0963
12292.0,-4.4556,0.3759,10.4555
12302.0,-4.2497,0.3089,10.5967
12312.0,-3.6248,0.3112,10.5704
12322.0,-3.7996,0.1245,10.0868
12332.0,-4.2329,0.0982,9.6055
12342.0,-4.2904,0.2634,9.4978
12352.0,-4.5849,0.3041,9.3757
12362.0,-4.8746,0.2897,9.177
12372.0,-5.2529,0.2969,9.3087
12382.0,-5.4468,0.3711,9.4092
12392.0,-5.5258,0.2682,9.7995
12402.0,-5.1906,0.2753,10.1394
12412.0,-4.3934,0.2921,10.003
12422.0,-3.7972,0.2945,10.3142
12432.0,-2.7342,0.3711,9.2081
12442.0,-2.1356,0.1341,8.2193
12452.0,-1.9968,0.0718,7.4029
12462.0,-2.0375,-0.158,7.2018
12472.0,-2.4134,-0.1891,7.4962
12482.0,-2.9329,-0.158,8.4348
12492.0,-3.3734,-0.1149,9.1315
12502.0,-3.6536,-0.0455,9.7851
12512.0,-3.8116,0.0934,9.8761
12522.0,-3.7757,0.1317,10.0509
12532.0,-3.7972,0.0575,9.7827
12542.0,-3.8762,0.1077,9.6462
12552.0,-3.4788,0.4405,9.1219
12562.0,-2.9113,0.735,8.6191
12572.0,-2.6815,0.9529,8.3725
12582.0,-2.4277,0.9816,8.1139
12592.0,-2.2721,1.1037,8.1882
12602.0,-2.4301,1.0367,8.5258
12612.0,-2.7366,0.8906,8.9687
12622.0,-2.794,1.0439,9.153
12632.0,-2.7366,1.0894,9.2201
12642.0,-2.5594,1.154,9.3805
12652.0,-2.3176,1.1349,9.2464
12662.0,-2.138,1.1564,8.8202
12672.0,-1.9968,1.1325,8.4348
12682.0,-2.1835,0.9697,8.6838
12692.0,-2.5211,0.9026,9.0764
12702.0,-2.8108,0.9792,9.7612
12712.0,-3.2034,1.1372,10.2807
12722.0,-3.1891,1.1013,10.5441
12732.0,-3.1651,1.1516,10.8769
12742.0,-3.1364,1.0942,10.7452
12752.0,-3.3184,1.0511,10.6111
12762.0,-3.304,1.0319,10.5058
12772.0,-3.3184,1.0295,10.5369
12782.0,-3.2848,1.1253,10.5393
12792.0,-3.5291,1.2522,10.7428
12802.0,-3.6823,1.2641,11.0325
12812.0,-3.6966,1.2953,11.2025
12822.0,-3.2465,1.4317,11.6191
12832.0,-3.2777,1.4389,11.3701
12842.0,-3.7565,1.5203,11.2671
