timestamp_ms,ax,ay,az
7302.0,-6.4596,-0.3998,3.201
7312.0,-6.5386,-0.668,3.0047
7322.0,-6.5793,-0.8835,3.0526
7332.0,-6.5864,-0.929,3.134
7342.0,-6.7516,-0.6991,3.3591
7352.0,-6.6511,-0.3448,3.8738
7362.0,-6.6559,0.2921,4.1132
7372.0,-6.7205,0.4956,4.3981
7382.0,-6.7373,0.2777,4.4724
7392.0,-6.6559,-0.316,4.7238
7402.0,-6.8019,-1.257,5.047
7412.0,-7.0054,-1.798,5.2194
7422.0,-7.4651,-1.9824,5.7197
7432.0,-7.9823,-2.071,6.0071
7442.0,-8.5353,-2.2003,6.2465
7452.0,-9.1746,-2.2505,6.6487
7462.0,-9.7707,-2.0375,6.8211
7472.0,-10.2735,-1.6759,6.9623
7482.0,-10.9128,-1.3216,7.3646
7492.0,-11.6598,-0.7925,7.4795
7502.0,-11.9542,-0.1053,7.6375
7512.0,-12.0261,0.4046,7.9176
7522.0,-12.0237,0.6847,8.2959
7532.0,-12.3756,1.1133,8.7484
7542.0,-12.7874,1.64,8.8753
7552.0,-12.6366,1.9776,9.007
7562.0,-12.1266,1.5778,8.9687
7572.0,-11.133,0.4669,8.5928
7582.0,-10.0916,-0.0168,8.3606
7592.0,-9.4092,-0.7757,8.5425
7602.0,-8.5377,-1.0319,7.8817
7612.0,-8.2839,-1.0894,7.8961
7622.0,-8.442,-1.3048,7.6184
7632.0,-8.8011,-1.3982,6.687
7642.0,-9.3302,-1.4557,5.9209
7652.0,-9.6031,-1.154,5.375
7662.0,-9.8234,-0.735,4.7285
7672.0,-10.0652,-0.261,4.3455
7682.0,-10.2975,0.2179,4.1659
7692.0,-10.5345,0.6608,4.039
7702.0,-10.6398,1.087,4.0893
7712.0,-10.5776,1.4222,4.3024
7722.0,-10.4291,1.3647,4.5442
7732.0,-10.2089,0.7925,4.7381
7742.0,-9.7659,0.2298,5.0589
7752.0,-9.3422,-0.1149,5.0925
7762.0,-8.8131,-0.1867,5.0613
7772.0,-8.4563,-0.1317,5.0159
7782.0,-8.1283,0.0263,4.6831
7792.0,-7.8697,-0.0096,4.4197
7802.0,-7.5872,-0.0215,4.1108
7812.0,-7.4196,-0.0239,3.7373
7822.0,-7.2281,-0.0934,3.4333
7832.0,-7.1299,-0.1053,3.3327
7842.0,-7.0605,-0.2083,3.0287
7852.0,-7.0318,-0.3759,2.9377
7862.0,-7.0509,-0.3639,2.8323
7872.0,-7.0773,-0.3112,2.5905
7882.0,-7.0581,-0.1867,2.4325
7892.0,-6.9839,0.0144,2.3798
7902.0,-6.9168,0.261,2.1787
7912.0,-6.7971,0.4501,2.0087
7922.0,-6.5936,0.4669,1.8076
7932.0,-6.5936,0.3663,1.743
7942.0,-6.6032,0.3974,1.549
7952.0,-6.79,0.3855,1.3838
7962.0,-7.1371,0.4453,1.0702
7972.0,-7.762,0.8978,1.3695
7982.0,-8.0804,0.2705,0.5962
7992.0,-8.5569,0.5219,0.7278
8002.0,-8.9088,0.4836,0.6321
8012.0,-9.2991,0.3304,1.0439
8022.0,-9.6223,0.2705,1.3886
8032.0,-10.0485,0.2658,2.0877
8042.0,-10.5967,0.0814,2.4301
8052.0,-11.236,-0.1077,2.5019
8062.0,-11.5377,0.2466,2.375
8072.0,-11.6167,0.5962,2.4086
8082.0,-11.6622,0.6656,2.7342
8092.0,-11.9662,0.9984,2.4181
8102.0,-11.825,1.4772,2.8706
8112.0,-11.5113,1.3312,3.802
8122.0,-10.817,0.4908,4.6448
8132.0,-9.9431,-0.5459,5.5905
8142.0,-9.2296,-1.4629,6.541
8152.0,-8.5904,-2.332,7.3646
8162.0,-8.2863,-2.6647,7.8051
8172.0,-8.1738,-2.5666,7.9272
8182.0,-8.2193,-2.296,7.6686
8192.0,-8.6335,-2.1069,7.2496
8202.0,-9.232,-2.1141,7.003
8212.0,-9.7348,-2.3774,6.3949
8222.0,-10.3022,-2.5163,6.4404
8232.0,-10.6542,-2.3966,7.0629
8242.0,-10.8816,-2.0375,7.3239
8252.0,-10.8242,-1.8771,7.4388
8262.0,-10.6853,-1.3767,7.5465
8272.0,-10.3022,-0.6249,7.3526
8282.0,-9.7492,-0.0766,7.039
8292.0,-9.2392,0.3304,6.4715
8302.0,-8.6838,0.5842,5.9855
8312.0,-8.2432,0.5555,5.3965
8322.0,-7.8266,0.1389,5.3271
8332.0,-7.3957,-0.3663,5.3079
8342.0,-7.1563,-0.7877,5.4875
8352.0,-6.9504,-1.4724,5.272
8362.0,-6.8761,-1.6448,4.9033
8372.0,-6.9911,-1.5514,4.9009
8382.0,-6.7876,-1.5275,4.4819
8392.0,-6.7876,-1.2641,4.1444
8402.0,-6.8283,-1.1013,4.0917
8412.0,-6.6655,-0.9026,4.0582
